prb_id,timestamp,resultset.result.rt,asn
6197,2019-10-05 22:52:39,35.722,42953.0
6581,2019-10-05 22:52:04,240.794,197540.0
6581,2019-10-05 22:52:04,36.229,197540.0
6581,2019-10-05 22:52:04,12.996,197540.0
10717,2019-10-05 22:53:59,76.561,49800.0
11006,2019-10-05 22:53:55,48.74,31252.0
11006,2019-10-05 22:53:55,49.261,31252.0
11006,2019-10-05 22:53:55,67.913,31252.0
11620,2019-10-05 22:53:05,61.747,29119.0
11620,2019-10-05 22:53:05,65.642,29119.0
11794,2019-10-05 22:53:33,396.26,39608.0
12641,2019-10-05 22:53:23,44.58,15377.0
12641,2019-10-05 22:53:23,60.329,15377.0
13410,2019-10-05 22:53:33,7.649,13188.0
13410,2019-10-05 22:53:33,52.135,13188.0
18596,2019-10-05 22:53:18,1039.658,10197.0
20466,2019-10-05 22:53:40,27.998,5607.0
20466,2019-10-05 22:53:40,7.51,5607.0
21220,2019-10-05 22:53:14,72.819,3269.0
21220,2019-10-05 22:53:14,70.514,3269.0
21252,2019-10-05 22:53:46,39.442,8285.0
21252,2019-10-05 22:53:46,36.101,8285.0
22384,2019-10-05 22:53:20,21.81,6830.0
22384,2019-10-05 22:53:20,14.565,6830.0
22671,2019-10-05 22:53:30,1036.826,9790.0
22671,2019-10-05 22:53:30,1033.943,9790.0
24101,2019-10-05 22:53:42,16.496,33915.0
25260,2019-10-05 22:53:50,18.733,5432.0
25260,2019-10-05 22:53:50,1.644,5432.0
28161,2019-10-05 22:53:35,48.939,48149.0
28161,2019-10-05 22:53:35,177.69,48149.0
29612,2019-10-05 22:53:56,40.461,3209.0
29612,2019-10-05 22:53:56,0.756,3209.0
30752,2019-10-05 22:53:27,59.025,2116.0
31375,2019-10-05 22:53:31,7.409,25596.0
31700,2019-10-05 22:53:50,154.8,16086.0
31700,2019-10-05 22:53:50,102.43,16086.0
32246,2019-10-05 22:53:50,36.317,59395.0
32246,2019-10-05 22:53:50,35.385,59395.0
4357,2019-10-05 22:53:06,25.409,50266.0
4498,2019-10-05 22:53:19,207.985,50633.0
4498,2019-10-05 22:53:19,78.506,50633.0
4498,2019-10-05 22:53:19,42.331,50633.0
50071,2019-10-05 22:53:16,116.294,1267.0
50071,2019-10-05 22:53:16,11.386,1267.0
50085,2019-10-05 22:53:50,1001.859,23889.0
50347,2019-10-05 22:53:29,140.684,7018.0
50347,2019-10-05 22:53:29,1.473,7018.0
50347,2019-10-05 22:53:29,40.654,7018.0
51553,2019-10-05 22:53:07,693.437,137153.0
51553,2019-10-05 22:53:07,1.534,137153.0
739,2019-10-05 22:53:43,52.044,20900.0
739,2019-10-05 22:53:43,51.17,20900.0
10928,2019-10-05 22:54:54,62.895,13030.0
11577,2019-10-05 22:54:35,54.499,5432.0
11673,2019-10-05 22:54:30,592.603,4608.0
11673,2019-10-05 22:54:30,13.045,4608.0
12199,2019-10-05 22:54:07,1073.576,55391.0
1364,2019-10-05 22:54:55,260.476,1653.0
1364,2019-10-05 22:54:55,78.644,1653.0
14699,2019-10-05 22:54:48,171.776,20626.0
