ASN,Users (est.)
6503,564071
33588,563087
10396,561782
16058,560063
27884,559752
27813,559374
198735,559143
9158,558047
23889,557299
42560,557169
20485,555348
36991,552869
33765,551164
37340,548788
23688,548247
43612,547541
29119,547079
4773,546622
135887,541073
14061,538427
16276,538427
133798,537412
58460,537007
33576,536905
11290,536648
3249,535646
55714,534728
328088,529858
9051,526671
27773,526401
47237,525436
29247,524982
17828,524366
132618,521183
52361,520573
17882,517564
45194,516440
327799,516047
4609,515327
45528,514347
12334,511259
3212,510979
29695,508322
41733,506994
35807,506142
60068,505974
201749,505948
16116,505133
1547,504723
10036,503915
5603,502539
28075,502361
9790,501778
3255,501155
37113,499840
22724,499123
16509,498245
58461,495270
31615,495145
8075,493950
328297,492320
55699,490583
13280,490431
55990,489478
262928,488878
44143,488017
29555,487352
174,486828
12552,486593
6830,483613
51375,483349
12297,483092
45960,482604
11232,481617
48728,478626
14988,478049
131591,475095
58678,469954
51018,469879
51407,468313
9009,468238
3549,467855
37136,466941
31721,463998
28036,463974
19182,462965
134760,462403
134674,462401
39232,462302
9009,460892
41032,460698
56696,459064
21042,457975
6866,456952
12552,456678
18081,456386
12716,455582
134238,454218
37196,451998
132203,449685
2110,447681
29244,446515
45184,446273
38841,445381
25144,444615
141771,440618
134419,437218
6830,435770
7122,434936
17924,433662
27672,433390
27800,433294
44034,428819
37009,427827
14061,427399
27665,427239
15582,423762
36937,423737
18144,422283
12578,421771
12810,421308
37612,421259
134026,420002
37284,417897
45925,415663
55352,414819
6181,414380
9354,413287
60294,412269
137697,412032
9009,411600
135405,409882
35913,408524
59045,407373
23655,406800
133720,406792
27364,406261
14061,406171
59588,406143
20860,406123
46844,404981
139831,401942
49800,396118
7524,396109
36924,394928
26464,394366
199524,394168
53037,391183
28220,389667
39010,388876
34557,387400
38226,387264
7155,386352
44869,385921
31499,384690
13124,382480
29518,382188
13213,381688
37057,380753
28186,380621
51684,379757
38565,379543
4725,378180
15924,377849
29066,377450
28146,376417
36924,375674
27984,374609
27889,373816
19114,371856
38264,371517
21246,370923
13353,370627
11664,370412
28598,369438
24550,367706
12365,367621
131596,366002
24722,364651
204170,364028
45775,363756
9009,363605
137692,363425
41164,362578
62240,362100
12876,361957
60781,361281
3326,358760
20875,356592
17885,356368
28512,356353
2586,352804
47956,352647
20057,352626
27839,351956
12764,351828
5578,350479
9931,349601
38999,349409
33567,348390
3741,347407
57513,345983
197830,340763
31200,340333
11404,339686
25117,339421
16509,338988
24554,338195
62240,336502
24164,335415
37124,333421
29256,332850
37341,332039
28201,331635
25454,331605
328200,331599
21450,331454
37680,331434
44087,330898
140315,330684
45011,329691
52468,328904
132045,326572
59625,326082
132480,325446
31452,325054
30600,324872
263327,324432
45804,324324
3308,324207
15435,323627
6830,322996
44489,322533
134033,322076
12390,321965
1257,321566
28202,320504
54614,319394
14754,318396
28555,318158
4780,317133
24921,317072
42313,315570
21283,315475
9595,314894
40021,314865
12946,314823
41798,314823
10299,313923
28536,313268
11562,312355
328727,312325
18002,312251
9498,311302
11338,311061
262468,310286
42682,310128
55915,309898
28668,309786
13335,308792
18678,307300
20676,307086
32181,306321
37517,305774
205473,304936
14080,303879
44391,302244
31148,302177
37385,301943
43824,301794
18024,301143
10118,300630
27017,300155
140314,299957
42863,299815
27983,299540
10094,299451
29049,298711
63949,298205
8448,298189
44034,297355
35197,297008
262753,296467
13335,296387
34779,296384
27775,295945
30844,295661
56262,294504
37094,293064
2609,291534
45754,289211
132148,289062
6939,288513
25369,287959
33788,287757
34718,285203
14061,285187
57218,283804
63969,283594
262589,282477
206119,282038
13127,281431
28580,280908
38442,279039
49724,278220
58504,278101
42779,278089
28613,277979
17079,277818
10013,277248
17698,276809
137166,276317
28534,274104
48492,273968
37620,273011
13335,272909
14709,271125
34533,271122
205889,269673
28368,269622
48695,269603
12768,269374
132447,269348
138296,269099
63949,268358
201167,268148
12361,267859
51645,267212
197288,267099
9341,267088
55947,266198
56478,265950
28530,265813
15480,265684
58689,265044
45143,264670
17470,264271
132770,263794
37081,262343
29066,261827
51604,260660
22616,260594
34977,260462
21127,260355
133648,260075
133334,260010
39608,259389
29256,258947
36866,257828
18822,257759
51852,257527
12997,256388
29580,256022
6830,255641
19863,255289
60258,254826
39927,254632
132453,254492
15146,253564
56099,253047
2907,252768
36599,252579
28024,251787
197882,249762
136119,249179
203217,248893
55850,248502
61003,247928
22869,247899
37014,247247
46690,246632
15943,246567
133623,246266
264628,246196
37508,245993
25620,245712
6876,245108
29124,244914
37616,244604
138950,244172
43205,243932
14618,243880
1257,243377
13194,243114
262191,242109
137453,241322
136188,241150
36923,240998
48887,240797
28952,240226
3265,239754
42116,239694
265684,239655
62044,239534
63949,239411
39642,239245
135872,238545
1257,237760
15377,236983
2914,236970
263073,236023
41937,235516
43557,235166
48161,235089
31214,233535
136442,233164
41329,232311
15399,232063
37376,232030
21183,231843
53813,231580
63018,230776
39824,229902
198484,229877
9009,229772
136515,229303
131285,228809
16276,228652
41704,228643
42652,227808
204317,227679
15994,226937
37637,226000
6661,225586
265691,225249
133676,225098
206611,224886
134375,224379
59164,223022
60068,222663
29170,222607
202354,222604
6364,222571
45814,222198
43060,221999
28753,221162
31272,221027
137449,220209
13156,220162
37682,219157
48642,218618
140732,218408
11272,217971
39435,217002
27896,216981
27668,216850
15751,216739
28270,216552
327952,216271
28669,215897
262202,215790
4795,215586
136093,215465
27866,215339
262673,215174
133001,214938
9009,214097
36920,213417
3356,213342
199731,213099
10143,212561
24940,212385
263238,212267
7642,212247
9009,211458
55392,210640
28171,210194
133275,210131
132296,209952
37719,209862
28532,209037
23470,207912
55391,207787
134788,207358
786,206442
17529,205718
11172,204972
24812,204860
262253,204633
9009,204611
28258,204439
35699,204122
53184,204060
35432,203518
12605,203488
28531,203321
32780,203058
132298,202893
139007,202868
37309,202759
28048,202603
27742,202498
8047,202091
25369,202023
203735,201813
212238,200899
263703,200765
8585,200659
18734,200450
327707,200382
20299,200017
9908,199832
17813,199497
50543,198940
9009,198407
9351,198352
12357,197947
36884,197661
7459,197479
140345,197201
14754,196777
37303,195521
16223,194930
13037,194572
31204,194305
30844,193893
37550,193757
10101,193526
57354,192825
17897,192668
263210,191966
13977,191313
29310,190788
139994,190687
28537,190267
262493,190103
37061,190037
37063,190011
31404,189595
132220,189533
6856,189505
134768,189016
50581,188669
714,188512
38511,188021
37541,187969
28114,187845
52613,187829
54994,187064
12668,186601
15600,186592
12876,186444
46562,185797
59108,185626
43350,185426
20928,185296
263783,185000
44507,184067
10226,183556
41750,182652
138322,182609
20473,182600
133311,182388
206262,182314
58965,182021
27843,181730
37463,181190
16509,180990
263725,180817
30619,180811
45355,180682
202699,180621
133301,179936
15169,179884
20590,179770
25310,179746
20880,179425
5639,178539
2116,178284
43925,177480
8462,176689
3491,176675
9874,176562
21412,176008
9370,175972
20773,175954
45582,175710
136384,175623
15399,175499
328169,175031
26210,175031
138346,174948
35911,174853
266860,174845
31404,174559
28481,174529
59362,174383
14615,174213
207744,174196
23956,174169
55427,174094
27837,173741
396356,173626
22689,173597
57044,173497
37410,173158
21453,173016
138482,172627
6471,172549
43317,172492
137688,172393
8697,172290
24371,172142
34594,172117
52965,171202
4922,170776
203459,170725
31404,170596
51570,170570
57704,170328
20473,170257
262481,170237
55424,170139
30764,169842
37090,169804
3549,169796
2018,169736
134382,169707
199524,169392
1659,169307
132556,169138
43940,169047
41911,168893
14813,168797
15617,168194
9009,168165
268976,168100
140647,167986
27696,167886
45117,167667
31257,167644
5413,167553
51004,166967
210162,166887
37094,166405
45903,166065
132932,165623
35297,165460
42912,164852
53850,164838
208286,164227
196949,164106
45235,163980
25086,163887
16202,163592
47236,163319
27927,162005
45766,161708
13490,161690
4230,161673
262293,161518
53667,161483
131627,161122
18053,160720
28015,160391
29091,160089
15735,160034
17841,159905
37173,159778
5390,159747
38009,159697
37371,159647
37315,159628
44604,159454
327782,159266
133414,158946
50923,158820
207097,158468
262664,158141
204152,157741
19422,157459
59127,156694
35816,156500
47165,156483
33983,155545
16276,155219
18419,155204
42841,155193
37006,155009
9471,154903
16509,154834
43936,154605
37524,154528
207786,154481
53059,154454
13046,154334
55944,154246
12301,154083
3194,153840
12709,153787
37148,153508
41843,153448
200865,153045
42082,152841
36924,152782
4662,152706
211341,152639
40788,152613
212460,152330
139759,152247
55805,152134
52871,151903
38067,151879
8100,151839
16814,151745
45905,151618
395954,151364
269832,151056
262459,151042
135247,150943
9009,150784
201411,150778
31404,150722
138965,150669
199524,150330
30844,150197
55862,150142
28300,149956
139879,149891
8445,149831
38077,149696
263980,149629
37229,149393
43939,149152
27833,148903
51440,148849
28331,148716
37053,148519
17839,148336
267749,148293
28665,148216
3215,148192
43733,148084
22646,147809
6677,147290
138089,147154
44944,146899
11814,146721
48146,146341
55960,146201
47895,146175
262659,145735
9009,145667
53062,145511
141342,145137
9614,145128
262532,145115
133606,144587
201776,144449
28005,143908
132976,143823
9845,143653
23959,143592
140485,143430
327901,143413
50973,143342
55685,143194
135589,142936
262509,142909
328638,142827
50498,142746
21565,142696
26827,142379
15542,142224
47139,142175
135356,142171
24323,141858
50597,141800
210278,141792
135407,141767
23089,141504
48206,141358
35244,140999
56300,140732
17306,140139
16629,140114
202940,139723
262983,139549
51737,139263
49392,138618
52657,138602
134714,137859
134204,137731
210095,137476
28438,137393
208365,137327
50257,137133
15547,137095
31117,137083
30999,137059
266802,137058
18978,137010
41329,136861
134022,136589
37282,136327
16276,136326
37623,136125
134858,136066
45588,136016
7602,135881
46618,135783
35362,135686
53080,135310
53065,135069
6407,135053
262159,135023
133107,134993
4782,134972
25820,134842
13335,134802
44056,134774
140638,134615
680,134602
41557,134505
9997,134502
140486,134489
37358,134340
22423,134323
139043,133954
41682,133792
135607,133718
23750,133622
34757,133551
64300,133411
6712,133329
52075,133101
45415,133017
63996,132979
37110,132568
20365,132399
1403,132326
62240,132216
132768,132183
57588,132082
11014,131990
48966,131663
52436,131569
135376,131525
36924,131478
8339,131398
55900,131211
9125,130950
27695,130938
36999,130863
37460,130713
63949,130594
45305,130575
262916,130538
264825,130287
266445,130227
56420,130210
1257,129989
136946,129281
262378,129021
43561,128977
41668,128659
21001,128530
42705,128498
267684,128384
37027,128243
212046,127451
263250,127384
8560,127027
53135,126988
28541,126985
15457,126938
4755,126788
51346,126668
29194,126584
47139,126519
136336,126518
29190,125885
54600,125675
58762,125578
36963,125553
22368,125385
58731,125334
26464,125110
29182,124510
36149,124450
263763,124440
43529,124373
62904,124335
264685,124215
12929,124098
262354,124093
766,124093
28158,123887
63023,123850
38457,123796
31286,123680
60068,123351
18049,123348
63949,122985
35104,122980
37337,122810
199524,122803
60257,122744
56981,122566
263405,122560
262503,122422
327765,122412
206375,122232
15516,122125
34569,122060
46844,121848
57378,121605
30633,121600
20910,121504
141383,121393
16276,121138
7482,121101
44558,121001
52444,120930
21191,120928
327724,120831
48524,120688
141461,120683
42831,120219
62563,120184
9762,120016
45499,119944
3215,119649
9381,119630
13045,119314
28652,119045
131920,118923
134732,118886
263276,118821
132045,118745
58821,118718
34797,118556
40285,118525
11976,118405
44724,118351
18182,118343
138024,118262
9146,117794
133652,117641
28032,117528
9310,117106
132497,116979
41997,116916
262365,116908
36351,116821
9009,116744
262691,116633
43533,116416
36492,116303
34590,116254
41738,115699
208294,115548
12708,115267
28523,115132
36874,114761
203953,114667
38553,114621
16509,114181
17964,114089
28294,113669
199046,113658
16246,113356
31514,113327
262907,113083
3132,112904
53066,112859
8334,112760
56696,112351
41754,112301
134937,112107
262785,112032
37002,111959
52974,111584
30922,111537
58495,111487
35320,111446
262773,111274
55824,111274
21804,111208
62044,111170
8014,111095
48945,110795
262807,110412
41275,110270
27887,110060
269853,109931
25490,109768
395965,109675
62240,109515
40676,109410
8580,109396
25250,109170
9919,109140
132215,108960
58073,108923
10269,108644
266673,108372
43554,108118
134371,108084
42314,108070
42689,108006
5588,107967
52783,107966
396982,107759
43598,107584
39280,107494
37427,107471
137967,107428
269730,107360
52866,107294
262375,107276
136284,106958
37451,106444
264642,106326
133647,106149
46562,106008
34700,106003
28287,105967
16247,105903
31126,105701
4787,105580
8560,105256
11259,105251
31037,105070
9658,104999
206641,104924
56120,104911
47253,104840
262732,104778
135697,104759
23673,104651
141031,104552
36977,104550
16509,104495
29854,104460
57370,104384
23607,104369
138245,104334
213155,104230
18260,104066
35986,103878
16509,103718
11816,103650
58893,103416
39728,103259
206092,103073
50129,102979
38901,102978
15805,102861
58966,102748
327750,102721
37100,102411
28359,102400
268581,102349
37529,102337
10219,102256
137959,102233
55832,102078
35728,101992
50477,101927
12737,101883
9260,101704
133007,101514
135582,101413
8053,101406
174,101333
136224,101325
41344,101163
49223,100773
51659,100748
18278,100743
57026,100682
50542,100529
5056,100406
28160,100315
8615,100136
10617,100073
46375,99969
50473,99961
17534,99897
263271,99885
39216,99874
262740,99643
28683,99628
45820,99568
135371,99565
55081,99502
55492,99364
47626,99350
35191,99243
31655,99179
212356,99096
6703,99068
136210,98559
22698,98304
32277,98282
328286,98266
8251,97944
7470,97692
8437,97657
28544,97547
33885,97417
58717,97410
48176,97406
135345,97292
201031,97288
27932,97228
41897,97186
132996,97108
15640,97100
35908,96963
262588,96714
198193,96642
6789,96380
28658,96335
49367,96224
204108,96051
11796,96013
204108,96008
270716,95956
57128,95790
8449,95771
21859,95526
39001,95266
266520,95215
50274,95034
45429,95022
138168,95016
9374,94913
266181,94905
264637,94877
45102,94746
16509,94700
31725,94672
140607,94575
49902,94555
8492,94501
9063,94498
53075,94164
268331,94130
51784,94126
263026,94009
31246,93867
28191,93837
34456,93737
56665,93687
41709,93428
262669,93423
52207,93256
51819,93125
53246,93113
31012,92930
31027,92795
44252,92763
3215,92461
209424,92419
3253,92339
30083,92115
4785,92029
6939,91997
41268,91924
41661,91793
201746,91728
47232,91386
131471,91353
28235,91287
267587,91252
262999,91200
7794,91176
19711,91093
16509,91045
136237,91045
9389,91045
31143,91013
12414,91007
262504,90994
131464,90844
25512,90801
206092,90775
30844,90750
13055,90745
29208,90659
39102,90657
17961,90587
51035,90570
41727,90505
24651,90390
23679,90367
6389,90233
262865,90149
23563,90039
28635,89908
30466,89844
38592,89800
49889,89760
7684,89741
13194,89638
33991,89565
264738,89434
53089,89426
42925,89381
37336,89350
59497,89313
27924,89292
45177,89268
15344,89227
8661,89208
34661,88896
3178,88892
49037,88823
61568,88702
15108,88453
264221,88426
263903,88357
46408,88314
262234,88314
3549,88150
60372,87999
56089,87956
9694,87924
28725,87679
31036,87644
41820,87584
137526,87549
42038,87491
13335,87466
48847,87384
6300,87371
49628,87204
53813,87139
135834,87095
28309,87082
39811,86901
43139,86796
51032,86748
17849,86678
264359,86652
28533,86573
3549,86450
28615,86359
264847,86334
34187,86303
269974,86281
174,86259
133997,86253
133752,86134
8257,86107
262262,86100
269729,86002
28329,85928
139351,85921
56568,85695
199995,85644
45025,85553
53019,85549
50512,85525
39397,85519
2588,85262
9615,85259
28624,85135
9205,85113
201986,85039
35539,85023
24363,84874
18196,84871
60068,84799
36997,84732
35074,84728
174,84596
56209,84577
42947,84546
45891,84526
50616,84389
53508,84268
4811,84245
131207,84116
262595,83998
134913,83825
28260,83688
34814,83628
262274,83550
265442,83481
263792,83469
174,83383
263655,83361
263224,83340
266646,83326
8749,83210
35311,83119
32098,83020
29695,82985
328341,82936
20960,82909
54198,82893
41046,82746
262680,82620
52468,82346
31898,82310
198252,82255
60068,82238
200845,82152
12494,82031
37575,81971
52901,81948
27903,81917
15673,81812
141015,81810
134840,81658
42683,81638
198820,81551
8439,81550
140594,81432
262688,81379
7672,81372
268323,81258
4842,81222
16509,81188
262567,81034
58898,80866
10834,80852
30844,80848
8075,80839
61317,80797
200697,80632
52232,80550
43019,80415
34876,80377
31423,80356
213371,80337
42087,80283
38628,80024
12570,79866
28264,79811
3215,79649
38195,79594
8517,79483
60268,79471
328088,79400
136716,79248
262359,79122
9770,79107
8371,79104
133752,79098
60068,79094
35141,79080
59126,79052
43571,78991
45942,78912
51825,78908
28634,78726
263361,78588
28535,78247
10838,78211
262462,78071
8544,77942
25441,77895
265525,77870
265705,77864
38710,77792
327804,77726
262342,77640
134341,77637
52242,77628
9009,77592
10075,77585
57256,77583
47172,77382
58715,77337
269822,77299
41230,77288
205016,77170
9009,76801
208115,76760
263260,76572
50544,76396
28458,76318
204457,76261
262760,76227
41403,76221
262604,76175
263880,76175
268769,76175
37187,76163
51430,76161
8636,76156
9155,76142
199524,76121
174,76097
39032,76086
8717,76084
265705,76077
265269,76003
263699,75904
132400,75889
6752,75883
48239,75851
56329,75713
58765,75569
41039,75548
264160,75538
7565,75532
58309,75502
262932,75490
11432,75486
15525,75431
263569,75400
43451,75369
51265,75341
44257,75260
139088,75233
136607,75225
49532,75217
262494,75211
52468,75174
263751,75154
28656,75142
28769,74933
137702,74926
42668,74889
263151,74883
37122,74659
9976,74609
45622,74590
49350,74583
4540,74546
212850,74518
36352,74457
267828,74393
134562,74232
135477,74133
52872,74073
38207,74016
263665,73936
49218,73884
197023,73775
262847,73729
210021,73671
137785,73667
24364,73667
52940,73436
24492,73411
57016,73341
327687,73315
25248,73266
13335,73144
134014,73133
42387,73054
201341,73041
131921,73003
131769,72966
31242,72952
16904,72931
16527,72919
262272,72884
21107,72871
134113,72867
137385,72817
203020,72706
265594,72496
61878,72488
10029,72479
28917,72465
265591,72460
41998,72427
27964,72311
50467,72241
262316,72212
52765,72161
4800,72041
26077,71975
131442,71932
41676,71879
136994,71787
132021,71706
33749,71659
16509,71572
202422,71566
41786,71547
135706,71507
140616,71507
52468,71411
327769,71404
62044,71358
57764,71255
24033,71221
45102,71122
132757,71082
133579,71062
138311,71049
21491,71000
265022,70955
137085,70918
47914,70849
2200,70662
33438,70496
267882,70479
208473,70423
52862,70403
55958,70393
9905,70251
13576,70242
37122,70142
132934,70117
20412,70075
61512,69987
29069,69909
41822,69888
49183,69855
21574,69800
18230,69761
48078,69713
17939,69711
262300,69662
16509,69583
267708,69547
41435,69537
9031,69461
52610,69456
139195,69390
55666,69356
135760,69291
265675,69273
262488,69249
44725,69223
49505,69211
264552,69128
51430,69006
198668,68988
263717,68862
39087,68861
396362,68774
7468,68630
203435,68509
269820,68468
59815,68446
46650,68435
138474,68428
14840,68387
