ASN,Users (est.),CC
27651,2028758,CL
134775,2008404,CN
9038,2003928,JO
45498,1996030,KH
3292,1991676,DK
6871,1952835,GB
37447,1947637,CD
36962,1941382,ZM
56041,1939573,CN
25106,1937499,BY
134543,1934852,CN
264731,1931470,VE
21497,1931331,UA
28118,1920665,DO
19108,1916874,US
37076,1906238,NG
9009,1892746,DE
132165,1890283,PK
23860,1886872,IN
17506,1874719,JP
136198,1860181,CN
12353,1856194,PT
37168,1835949,ZA
28787,1833731,AZ
2519,1825622,JP
5378,1817925,GB
41330,1806211,RU
4771,1797689,NZ
264668,1793539,EC
35228,1788893,GB
31163,1786085,RU
8953,1782052,RO
131429,1756212,VN
29357,1755789,KW
36890,1751368,RW
719,1737767,FI
15802,1735577,AE
16019,1734661,CZ
18209,1726677,IN
3786,1719867,KR
31213,1717345,RU
265540,1714287,MX
5610,1701136,CZ
42298,1697586,QA
21334,1684213,HU
42961,1683366,KW
18126,1676093,JP
8376,1674285,JO
37069,1673758,EG
137687,1670460,CN
47589,1664533,KW
133696,1658515,IN
206026,1646704,KZ
206067,1645808,GB
50010,1639005,OM
23243,1636171,GT
12400,1630783,IL
56042,1630205,CN
6855,1629510,SK
17962,1611569,CN
63859,1611172,ID
31042,1608139,RS
45356,1593799,LK
21299,1593646,KZ
140308,1580259,CN
24186,1580198,IN
7029,1577177,US
24139,1575538,CN
12271,1568773,US
37492,1544066,TN
4760,1517845,HK
30036,1516636,US
37963,1514037,CN
45543,1497042,VN
52341,1494119,CL
8551,1481296,IL
39651,1477428,SE
133287,1468254,IN
136199,1465209,CN
17451,1459878,ID
37693,1452896,TN
4685,1447423,JP
20661,1428991,TM
27901,1417559,CL
2497,1412287,JP
6849,1410640,UA
20845,1407881,HU
16010,1407700,GE
55577,1396029,IN
48190,1394239,RU
137226,1383264,PH
37611,1380672,ZA
138384,1376149,JP
42772,1371893,BY
34058,1367898,UA
2119,1367703,SE
16086,1366260,FI
64466,1365736,UZ
24157,1340882,TW
48092,1340227,RU
37424,1338522,BJ
37461,1337326,GN
14754,1331444,NI
3329,1329851,GR
6730,1329318,CH
9617,1328594,JP
11830,1324604,CR
27895,1313912,PY
29355,1311843,KZ
18809,1300440,PA
9009,1292572,JP
39832,1290326,ZA
22884,1287902,MX
9329,1283158,LK
36907,1281861,AO
1680,1278690,IL
262186,1272946,CO
8447,1272669,AT
17670,1248746,ID
14061,1247423,GB
16960,1243284,MX
28884,1238006,RU
25229,1236365,UA
12978,1234353,TR
3216,1230549,RU
37030,1229889,GH
202561,1228758,TR
10010,1228394,JP
25255,1215208,AT
8866,1211310,BG
37294,1199807,MW
29314,1198504,PL
205254,1185863,IQ
132525,1185163,CN
1759,1181944,FI
53006,1180082,BR
8697,1179846,JO
37645,1179837,AO
25543,1177989,BF
63949,1171379,US
37037,1170405,MG
44217,1170013,IQ
8926,1166708,MD
37233,1166468,NE
42610,1161309,RU
262210,1159783,PE
25135,1159294,GB
2514,1154729,JP
15378,1150856,RU
7438,1146423,MX
140726,1146399,CN
131284,1136428,AF
135300,1133633,MM
132471,1130891,AF
49981,1122231,NL
4809,1122171,CN
30990,1121503,DJ
21575,1117301,PE
21826,1102297,VE
855,1101716,CA
12741,1092153,PL
10474,1090251,ZA
9873,1087125,LA
57269,1083837,ES
30689,1083400,JM
9443,1082151,AU
133612,1070479,AU
14754,1060584,SV
28006,1058995,EC
5391,1058289,HR
131267,1057366,LA
9930,1057167,MY
17465,1056580,IN
58322,1055280,IQ
24086,1048006,VN
9269,1044952,HK
31205,1041521,RU
17665,1036773,IN
9050,1036692,RO
35753,1030511,SA
9506,1024665,SG
6535,1022919,CL
131178,1017121,KH
11845,1012618,ZA
12975,1000071,PS
37649,992345,SN
24955,989101,RU
47377,989019,BE
9009,981788,GB
6830,977019,CH
7992,969765,CA
12083,965833,US
28210,958196,BR
8764,957003,LT
140312,955933,CN
11492,951284,US
21271,947656,ML
327738,946667,CD
28545,945619,MX
56167,939005,PK
2510,934852,JP
42437,934527,RU
11315,933167,AR
18229,925373,IN
13036,924643,CZ
23752,923791,NP
52262,918370,HN
27738,916665,EC
45769,915064,IN
8228,915020,FR
28840,913870,RU
12338,909240,ES
138754,907327,IN
9500,907171,NZ
37463,906484,CD
12392,905741,BE
7679,905425,JP
17976,901362,KH
42003,899067,LB
25472,889909,GR
12714,887972,RU
12849,883876,IL
36930,876350,TZ
31224,870810,RU
16509,868207,JP
327756,868157,TD
38742,867904,AF
134810,865359,CN
36994,863787,ZA
4721,858642,JP
9924,855617,TW
43197,854324,TJ
40676,853861,US
7497,849207,CN
58466,846225,CN
25144,845899,DE
56696,845165,ZW
14522,842990,EC
1241,841240,GR
30969,839755,ZW
8369,838890,RU
9009,838833,NL
136907,835168,CN
37164,828900,SL
140316,825849,CN
24691,824552,TG
45650,822628,NP
14868,819142,BR
37594,818964,SS
5416,816889,BH
15502,815827,IE
136969,813081,PK
20473,810740,JP
17747,805716,IN
140313,805598,CN
6830,805135,IE
131269,804613,IN
16735,803274,BR
44395,799516,AM
21021,797080,PL
16276,796685,GB
11260,793633,CA
5466,792294,IE
27653,791488,HT
29544,788722,MR
9929,787458,CN
4007,783841,NP
6621,781109,US
135478,780657,ID
9416,780374,TW
9146,780110,BA
1257,779971,SE
21003,776785,LY
15399,775797,KE
137689,772549,CN
328580,766879,NG
134762,764224,CN
35725,762828,RO
15962,761555,SK
52468,759576,CO
25139,759490,MZ
28554,757732,MX
15774,757700,RU
11556,755779,PA
37154,755684,ZM
38819,751598,HK
28343,749103,BR
8767,748118,DE
57293,748109,AZ
52228,743297,CR
45090,741364,CN
6821,739623,MK
35805,738488,GE
63949,734892,DE
12793,731290,AT
17917,725485,IN
13188,724599,UA
17754,724114,IN
55430,723884,SG
14117,723204,CL
6614,720955,US
34296,717199,TR
2119,713686,NO
23674,713513,PK
4764,704393,AU
37671,703381,TN
132116,702783,IN
14754,699606,HN
