prb_id,timestamp,resultset.result.rt,dst_addr,subid,country_code,asn_v4
6101,2020-01-01 04:02:47,1279.045,::1,1,US,53824.0
6101,2020-01-01 04:02:47,483.253,2620:74:1b::1:1,2,US,53824.0
6101,2020-01-01 04:02:47,564.866,8.8.8.8,3,US,53824.0
10895,2020-01-01 04:03:49,138.22299999999998,2a01:1dc::1:4,1,PL,15744.0
10895,2020-01-01 04:03:49,138.984,2a01:1dc::1:5,2,PL,15744.0
10895,2020-01-01 04:03:49,8.85,2a01:1dc::1:6,3,PL,15744.0
11563,2020-01-01 04:03:15,41.659,10.102.1.3,1,IE,199588.0
11563,2020-01-01 04:03:15,30.312,10.102.1.4,2,IE,199588.0
12277,2020-01-01 04:03:31,21.403,192.168.10.254,1,GB,206509.0
12569,2020-01-01 04:03:23,105.351,195.88.112.2,1,UA,196705.0
12569,2020-01-01 04:03:23,156.437,195.88.112.3,2,UA,196705.0
13056,2020-01-01 04:03:32,906.73,172.20.1.53,1,US,32329.0
13771,2020-01-01 04:03:40,218.872,168.210.2.2,1,KE,12556.0
13771,2020-01-01 04:03:40,197.33900000000003,196.14.239.2,2,KE,12556.0
13774,2020-01-01 04:03:26,69.749,178.255.128.8,1,FR,29605.0
13774,2020-01-01 04:03:26,64.542,193.110.140.4,2,FR,29605.0
13774,2020-01-01 04:03:26,1.175,2a01:6940:201:601::8,3,FR,29605.0
14213,2020-01-01 04:03:06,141.69,192.67.4.185,1,GB,39326.0
14213,2020-01-01 04:03:06,68.314,9.9.9.9,2,GB,39326.0
14294,2020-01-01 04:03:11,21.52,192.168.10.1,2,DE,6830.0
14555,2020-01-01 04:03:08,72.148,192.168.0.5,1,GB,5089.0
14555,2020-01-01 04:03:08,17.715,192.168.0.6,2,GB,5089.0
16747,2020-01-01 04:03:33,58.101000000000006,fd00::de39:6fff:fe68:a69a,1,DE,205112.0
16747,2020-01-01 04:03:33,1.104,192.168.0.1,2,DE,205112.0
17762,2020-01-01 04:03:08,204.883,192.168.1.1,1,GP,20776.0
19813,2020-01-01 04:03:18,23.768,10.22.0.11,1,DE,553.0
19813,2020-01-01 04:03:18,4.992,172.22.0.12,2,DE,553.0
21019,2020-01-01 04:03:56,350.1090000000001,202.87.208.185,1,WS,38800.0
21019,2020-01-01 04:03:56,348.028,202.87.211.3,2,WS,38800.0
21345,2020-01-01 04:03:04,107.442,2001:8b0:b2:1::cafe,1,GB,20712.0
21345,2020-01-01 04:03:04,1.101,81.187.50.99,2,GB,20712.0
21996,2020-01-01 04:03:20,54.968,fd00::9a9b:cbff:fe21:6350,1,DE,3320.0
21996,2020-01-01 04:03:20,0.851,192.168.2.1,2,DE,3320.0
24637,2020-01-01 04:03:50,76.697,192.168.1.1,1,IL,9116.0
26552,2020-01-01 04:03:22,36.556,10.0.2.1,1,NL,25596.0
